Date,Seasons,Holiday,FunctioningDay
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-01,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-02,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-03,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-04,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-05,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
2017-12-06,Winter,No Holiday,Yes
